Ozone_mean,Ozone_max,Ozone_95,PM25_mean,PM25_first_max,PM25_95
0.065388,0.10300000000000001,0.08800000000000001,7.688333,18.1,14.6
0.06593099999999999,0.112,0.091,8.496490999999999,23.5,18.3
0.068387999999999,0.11,0.094,8.372221999999997,38.0,19.7
0.060793999999999,0.093,0.078,7.129507999999999,17.0,13.1
0.06427100000000001,0.117,0.09,7.3037740000000015,19.3,16.8
0.062504999999999,0.11,0.08600000000000001,22.435714,69.4,48.5
0.064252,0.098,0.085,22.509091,59.7,48.2
0.065183999999999,0.099,0.08600000000000001,19.457895,41.7,40.4
0.060360000000000004,0.091,0.077,14.237288,29.4,23.4
0.05977599999999901,0.092,0.077,12.322034,39.5,23.1
0.062389999999999,0.096,0.081,13.334482999999999,67.2,26.5
0.063003999999999,0.106,0.08199999999999999,15.578689,32.6,28.0
0.061078,0.094,0.078,15.757627,43.6,35.2
0.05702899999999901,0.08600000000000001,0.07200000000000001,14.52069,54.2,37.1
0.055815,0.105,0.078,10.190598,231.0,20.8
0.053427999999999004,0.08900000000000001,0.076,13.961607,481.0,37.0
0.054831,0.114,0.081,15.665788999999998,466.0,49.0
0.060645,0.07100000000000001,0.07100000000000001,5.827586,12.6,12.3
0.052009000000000014,0.076,0.064,5.169811,14.1,10.1
0.051952,0.081,0.067,3.866666999999999,7.5,6.5
0.055607,0.081,0.07100000000000001,3.868420999999999,14.3,7.7
0.055342999999999004,0.081,0.07100000000000001,4.474576,14.0,10.2
0.053249,0.077,0.066,4.144827999999999,9.7,8.4
0.05663999999999901,0.098,0.081,9.928333,23.0,17.2
0.054247,0.083,0.07400000000000001,9.441667,30.8,15.0
0.055237999999999,0.08900000000000001,0.077,7.365,18.4,11.2
0.056995,0.09,0.078,7.6220339999999975,15.7,13.7
0.057463,0.1,0.079,8.463158,17.0,15.3
0.056112999999999004,0.08700000000000001,0.07400000000000001,8.836667,213.0,24.4
0.056728999999999,0.106,0.077,6.296608999999999,278.0,20.0
0.050719,0.096,0.07300000000000001,5.5893289999999975,101.0,17.0
0.048417999999999004,0.085,0.068,8.499145,804.0,22.0
0.050235999999999004,0.08700000000000001,0.07300000000000001,8.584413,190.0,20.0
0.061432999999999,0.14400000000000002,0.1,15.931915,39.2,28.4
0.054847,0.116,0.091,15.72967,38.6,29.1
0.058822,0.126,0.09,14.056881,36.2,25.6
0.052640000000000006,0.13,0.08900000000000001,12.176364,34.2,25.7
0.054310000000000004,0.139,0.08199999999999999,12.18172,40.5,21.6
0.050686999999999004,0.102,0.077,11.98843,30.7,23.2
0.061190999999999,0.14,0.08700000000000001,14.163025,48.4,33.6
0.054444000000000006,0.12,0.08199999999999999,12.31405,35.80000000000001,23.2
0.054591,0.12,0.084,13.625,46.5,28.4
0.050803999999999,0.10400000000000001,0.07200000000000001,11.714754,29.6,22.2
0.046138,0.095,0.069,9.821849,26.6,18.5
0.054182000000000015,0.109,0.08199999999999999,11.807627,29.1,20.8
0.053217999999999,0.10300000000000001,0.08199999999999999,11.606957,23.3,21.2
0.052441999999999,0.099,0.076,9.99918,25.9,17.400000000000002
0.046911999999999,0.08800000000000001,0.067,9.991597,36.6,20.6
0.045523999999999,0.075,0.065,9.310084,31.2,19.4
0.046364999999999004,0.081,0.069,8.746281,21.0,16.4
0.047971,0.113,0.07,8.364706,19.7,14.6
0.046251,0.093,0.066,7.9532789999999975,17.2,13.5
0.038415,0.057,0.055,10.830769,24.7,21.1
0.05124,0.092,0.077,12.530631,33.2,22.7
0.055276,0.08199999999999999,0.07400000000000001,11.653271,26.2,19.7
0.051738,0.094,0.07300000000000001,11.918803,34.0,24.6
0.049672999999999,0.076,0.066,10.527731,22.7,20.3
0.048324,0.08199999999999999,0.069,9.854622,28.5,17.6
0.051833,0.08800000000000001,0.07300000000000001,10.942857,23.6,18.7
0.055077,0.093,0.07400000000000001,11.507563,25.8,20.7
0.052842999999999,0.094,0.07,9.947458,26.7,19.0
0.048553,0.075,0.064,10.002632,25.5,19.5
0.044910000000000005,0.083,0.062,9.39918,24.3,17.0
0.045403,0.08199999999999999,0.062,8.282905999999999,18.7,15.2
0.046861,0.076,0.062,8.258333,21.2,14.5
0.046154,0.076,0.06100000000000001,8.116529,19.4,15.3
0.054255,0.115,0.085,17.221739000000003,44.0,33.5
0.05657300000000001,0.125,0.101,16.555101999999998,38.0,29.7
0.056613,0.117,0.085,15.819230999999998,42.8,30.7
0.052146000000000005,0.117,0.08600000000000001,13.666667000000002,41.2,31.2
0.052665,0.106,0.079,13.46,36.1,23.9
0.049035999999999004,0.096,0.076,13.343589999999999,39.1,26.8
0.059701,0.114,0.08800000000000001,16.025641,48.5,35.7
0.053818,0.12,0.08,13.005202,33.7,24.2
0.052160000000000005,0.1,0.08,13.50625,38.1,25.1
0.048284,0.11800000000000001,0.07,12.119167,34.1,24.9
0.046673,0.11800000000000001,0.07100000000000001,11.436441,31.4,21.4
0.053273,0.096,0.075,12.599133,25.1,21.1
0.052604,0.105,0.08199999999999999,12.655745,37.1,23.0
0.052513,0.097,0.081,11.641026,30.7,21.6
0.047607,0.081,0.07200000000000001,10.895614,36.2,21.6
0.044475999999999,0.08800000000000001,0.064,10.833058,30.7,21.3
0.044872999999999004,0.092,0.065,11.003571,26.6,20.5
0.045330999999999004,0.08,0.063,10.513333,22.2,18.8
0.04607000000000002,0.081,0.064,9.876667,24.1,16.8
0.044785000000000005,0.07400000000000001,0.062,10.685088,22.2,18.7
0.045072999999999,0.08900000000000001,0.063,10.264655,26.0,18.9
0.049273,0.08199999999999999,0.068,11.139831,25.0,19.4
0.051916,0.091,0.075,11.682300999999999,32.3,20.7
0.0538,0.095,0.077,9.566981,24.5,19.3
0.049411,0.08,0.066,9.276271,21.3,17.7
0.046627999999999004,0.07100000000000001,0.064,8.707142999999999,28.7,16.8
0.044509,0.077,0.064,7.803419,21.2,14.0
0.045658,0.07200000000000001,0.059000000000000004,8.107562999999999,20.4,14.7
0.046301999999999004,0.069,0.062,7.82562,22.2,14.7
0.044184,0.14600000000000002,0.091,31.51250000000001,63.1,63.1
0.043653,0.152,0.079,12.513953,56.4,35.5
0.044682,0.113,0.083,13.793548,107.5,26.2
0.04539000000000002,0.16,0.083,18.75,61.6,40.1
0.044364999999999,0.128,0.085,9.555789,42.0,22.8
0.042133,0.113,0.077,11.10625,40.8,28.1
0.044017,0.12,0.08,9.621505,33.4,22.7
0.046657,0.127,0.09,10.638043,50.8,25.1
0.042114,0.12,0.07100000000000001,10.445,54.9,24.3
0.046793,0.141,0.08600000000000001,11.405479,38.6,28.6
0.044003,0.113,0.08199999999999999,11.747036999999999,69.0,26.0
0.043005999999999,0.15,0.07100000000000001,8.575714,84.0,20.0
0.043421,0.115,0.078,10.163453,85.0,25.0
0.045028,0.102,0.077,9.538701999999997,67.0,22.0
