,asthma_death_per_100k,asthma_deaths_per_100k,county_name,fips,observed,state_name,year
340,1.494273727,,Garfield,40047,1,Oklahoma,1996
341,1.494273727,,McClain,40087,1,Oklahoma,1996
342,1.494273727,,Muskogee,40101,1,Oklahoma,1996
343,1.8974474030000001,,Oklahoma,40109,1,Oklahoma,1996
344,1.8974474030000001,,Tulsa,40143,1,Oklahoma,1996
345,1.494273727,,Clackamas,41005,1,Oregon,1996
346,1.494273727,,Columbia,41009,1,Oregon,1996
347,1.8974474030000001,,Deschutes,41017,1,Oregon,1996
348,1.8974474030000001,,Jackson,41029,1,Oregon,1996
349,1.8974474030000001,,Josephine,41033,1,Oregon,1996
350,1.8974474030000001,,Klamath,41035,1,Oregon,1996
351,1.8974474030000001,,Lane,41039,1,Oregon,1996
352,1.8974474030000001,,Marion,41047,1,Oregon,1996
353,1.8974474030000001,,Multnomah,41051,1,Oregon,1996
354,2.3071614119999997,,Allegheny,42003,1,Pennsylvania,1996
355,1.675760589,,Beaver,42007,1,Pennsylvania,1996
356,1.996041459,,Berks,42011,1,Pennsylvania,1996
357,1.494273727,,Blair,42013,1,Pennsylvania,1996
358,1.996041459,,Bucks,42017,1,Pennsylvania,1996
359,1.849457527,,Cambria,42021,1,Pennsylvania,1996
360,1.494273727,,Centre,42027,1,Pennsylvania,1996
361,1.494273727,,Clearfield,42033,1,Pennsylvania,1996
362,1.996041459,,Dauphin,42043,1,Pennsylvania,1996
363,2.028361291,,Delaware,42045,1,Pennsylvania,1996
364,1.494273727,,Erie,42049,1,Pennsylvania,1996
365,1.494273727,,Franklin,42055,1,Pennsylvania,1996
366,1.849457527,,Lackawanna,42069,1,Pennsylvania,1996
367,1.8974474030000001,,Lancaster,42071,1,Pennsylvania,1996
368,2.3071614119999997,,Lawrence,42073,1,Pennsylvania,1996
369,1.8974474030000001,,Lehigh,42077,1,Pennsylvania,1996
370,1.8974474030000001,,Luzerne,42079,1,Pennsylvania,1996
371,1.494273727,,Lycoming,42081,1,Pennsylvania,1996
372,1.494273727,,Mercer,42085,1,Pennsylvania,1996
373,1.996041459,,Montgomery,42091,1,Pennsylvania,1996
374,2.3071614119999997,,Northampton,42095,1,Pennsylvania,1996
375,1.494273727,,Perry,42099,1,Pennsylvania,1996
376,3.2166237669999997,,Philadelphia,42101,1,Pennsylvania,1996
377,1.494273727,,Schuylkill,42107,1,Pennsylvania,1996
378,1.608529681,,Washington,42125,1,Pennsylvania,1996
379,1.494273727,,Westmoreland,42129,1,Pennsylvania,1996
380,1.996041459,,York,42133,1,Pennsylvania,1996
381,1.494273727,,Kent,44003,1,Rhode Island,1996
382,1.8974474030000001,,Providence,44007,1,Rhode Island,1996
383,1.494273727,,Abbeville,45001,1,South Carolina,1996
384,1.494273727,,Aiken,45003,1,South Carolina,1996
385,1.494273727,,Anderson,45007,1,South Carolina,1996
386,1.494273727,,Barnwell,45011,1,South Carolina,1996
387,1.494273727,,Berkeley,45015,1,South Carolina,1996
388,1.494273727,,Charleston,45019,1,South Carolina,1996
389,1.494273727,,Cherokee,45021,1,South Carolina,1996
390,1.494273727,,Chester,45023,1,South Carolina,1996
391,1.494273727,,Colleton,45029,1,South Carolina,1996
392,1.494273727,,Darlington,45031,1,South Carolina,1996
393,1.494273727,,Edgefield,45037,1,South Carolina,1996
394,1.642210039,,Greenville,45045,1,South Carolina,1996
395,1.494273727,,Oconee,45073,1,South Carolina,1996
396,1.494273727,,Pickens,45077,1,South Carolina,1996
397,1.8974474030000001,,Richland,45079,1,South Carolina,1996
398,1.494273727,,Spartanburg,45083,1,South Carolina,1996
399,1.494273727,,Union,45087,1,South Carolina,1996
400,1.494273727,,Williamsburg,45089,1,South Carolina,1996
401,1.494273727,,York,45091,1,South Carolina,1996
402,1.494273727,,Anderson,47001,1,Tennessee,1996
403,1.494273727,,Blount,47009,1,Tennessee,1996
404,1.494273727,,Bradley,47011,1,Tennessee,1996
405,1.494273727,,Coffee,47031,1,Tennessee,1996
406,1.8974474030000001,,Davidson,47037,1,Tennessee,1996
407,1.494273727,,Dickson,47043,1,Tennessee,1996
408,1.494273727,,Giles,47055,1,Tennessee,1996
409,1.494273727,,Hamilton,47065,1,Tennessee,1996
410,1.494273727,,Haywood,47075,1,Tennessee,1996
411,1.494273727,,Humphreys,47085,1,Tennessee,1996
412,1.494273727,,Jefferson,47089,1,Tennessee,1996
413,1.8974474030000001,,Knox,47093,1,Tennessee,1996
414,1.494273727,,Loudon,47105,1,Tennessee,1996
415,1.494273727,,McMinn,47107,1,Tennessee,1996
416,1.494273727,,Putnam,47141,1,Tennessee,1996
417,1.494273727,,Rutherford,47149,1,Tennessee,1996
418,1.494273727,,Sevier,47155,1,Tennessee,1996
419,2.3071614119999997,,Shelby,47157,1,Tennessee,1996
420,1.8974474030000001,,Sullivan,47163,1,Tennessee,1996
421,1.494273727,,Sumner,47165,1,Tennessee,1996
422,1.494273727,,Williamson,47187,1,Tennessee,1996
423,1.494273727,,Wilson,47189,1,Tennessee,1996
424,1.494273727,,Bexar,48029,1,Texas,1996
425,1.494273727,,Brazoria,48039,1,Texas,1996
426,1.494273727,,Brewster,48043,1,Texas,1996
427,1.675760589,,Cameron,48061,1,Texas,1996
428,1.494273727,,Collin,48085,1,Texas,1996
429,1.642210039,,Dallas,48113,1,Texas,1996
430,1.494273727,,Denton,48121,1,Texas,1996
431,1.494273727,,Ellis,48139,1,Texas,1996
432,2.3071614119999997,,El Paso,48141,1,Texas,1996
433,1.494273727,,Galveston,48167,1,Texas,1996
434,1.494273727,,Gregg,48183,1,Texas,1996
435,1.996041459,,Harris,48201,1,Texas,1996
436,1.494273727,,Hidalgo,48215,1,Texas,1996
437,1.8974474030000001,,Jefferson,48245,1,Texas,1996
438,1.494273727,,Nueces,48355,1,Texas,1996
439,1.494273727,,Orange,48361,1,Texas,1996
440,1.494273727,,Smith,48423,1,Texas,1996
441,1.849457527,,Tarrant,48439,1,Texas,1996
442,1.5215452919999999,,Travis,48453,1,Texas,1996
443,1.494273727,,Victoria,48469,1,Texas,1996
444,1.849457527,,Webb,48479,1,Texas,1996
445,1.8974474030000001,,Cache,49005,1,Utah,1996
446,1.996041459,,Davis,49011,1,Utah,1996
447,2.3071614119999997,,Salt Lake,49035,1,Utah,1996
448,1.494273727,,San Juan,49037,1,Utah,1996
449,2.3071614119999997,,Utah,49049,1,Utah,1996
450,1.8974474030000001,,Washington,49053,1,Utah,1996
451,2.3071614119999997,,Weber,49057,1,Utah,1996
452,1.494273727,,Bennington,50003,1,Vermont,1996
453,1.849457527,,Chittenden,50007,1,Vermont,1996
454,1.608529681,,Rutland,50021,1,Vermont,1996
455,2.1236993859999997,,Arlington,51013,1,Virginia,1996
456,1.494273727,,Caroline,51033,1,Virginia,1996
457,1.494273727,,Charles,51036,1,Virginia,1996
458,1.494273727,,Chesterfield,51041,1,Virginia,1996
459,1.494273727,,Fauquier,51061,1,Virginia,1996
460,1.494273727,,Frederick,51069,1,Virginia,1996
461,1.494273727,,Hanover,51085,1,Virginia,1996
462,1.494273727,,Henrico,51087,1,Virginia,1996
463,1.494273727,,Henry,51089,1,Virginia,1996
464,1.494273727,,Madison,51113,1,Virginia,1996
465,1.494273727,,Roanoke,51161,1,Virginia,1996
466,1.494273727,,Stafford,51179,1,Virginia,1996
467,1.494273727,,Wythe,51197,1,Virginia,1996
468,2.355547799,,Alexandria City,51510,1,Virginia,1996
469,1.494273727,,Hampton City,51650,1,Virginia,1996
470,1.849457527,,Newport News City,51700,1,Virginia,1996
471,1.849457527,,Norfolk City,51710,1,Virginia,1996
472,2.028361291,,Richmond City,51760,1,Virginia,1996
473,1.8974474030000001,,Roanoke City,51770,1,Virginia,1996
474,1.494273727,,Suffolk City,51800,1,Virginia,1996
475,1.494273727,,Clallam,53009,1,Washington,1996
476,1.8974474030000001,,Clark,53011,1,Washington,1996
477,1.494273727,,Cowlitz,53015,1,Washington,1996
478,1.8974474030000001,,King,53033,1,Washington,1996
479,1.8974474030000001,,Kitsap,53035,1,Washington,1996
480,1.494273727,,Klickitat,53039,1,Washington,1996
481,1.494273727,,Lewis,53041,1,Washington,1996
482,1.8974474030000001,,Pierce,53053,1,Washington,1996
483,1.494273727,,Skagit,53057,1,Washington,1996
484,1.8974474030000001,,Snohomish,53061,1,Washington,1996
485,1.8974474030000001,,Spokane,53063,1,Washington,1996
486,1.8974474030000001,,Thurston,53067,1,Washington,1996
487,1.494273727,,Whatcom,53073,1,Washington,1996
488,1.8974474030000001,,Yakima,53077,1,Washington,1996
